organization_name,address,lat,lon,age_min,age_max,hours,phone,has_computers,has_kitchen,requires_id,harm_reduction,bypass_pathway,intake_preparation,occupancy_ratio
Regent Park Community Centre,"402 Shuter St, Toronto",43.6592,-79.3628,13,24,"Mon-Fri 12PM-10PM, Sat-Sun 10AM-8PM",416-392-0520,True,True,False,True,Ask for youth programs coordinator for drop-in availability.,Walk in anytime during hours. Safe space for all youth regardless of background.,0.3
519 Community Centre,"519 Church St, Toronto",43.6659,-79.3841,16,24,Daily 9AM-10PM,416-392-6874,True,True,False,True,LGBTQ+ affirming space. Computers and programs available to all youth.,"No sign-up needed for drop-in. Programs include job skills, art, and support groups.",0.35
Scadding Court Community Centre,"707 Dundas St W, Toronto",43.6521,-79.4049,13,24,"Mon-Fri 10AM-9PM, Sat 10AM-6PM",416-392-0335,True,True,False,True,"Skating rink, gym, computers, community kitchen.",Drop-in available. Youth worker on site weekdays 3-8 PM.,0.4
Dufferin Grove Park Community House,"875 Dufferin St, Toronto",43.6529,-79.4374,13,24,Mon-Fri 12PM-8PM,416-392-0210,True,True,False,True,"Community kitchen, computers, drop-in arts programs.",Outdoor fire pit and indoor space. Welcoming to all youth.,0.45
Na-Me-Res Native Men's Residence (Youth Drop-In),"75 Sherbourne St, Toronto",43.6537,-79.3726,16,24,Mon-Fri 9AM-5PM,416-652-0334,False,True,False,True,Primarily Indigenous youth. Cultural programming available.,Smudging and cultural safety practices in place.,0.5
Yonge Street Mission Youth Services,"306 Gerrard St E, Toronto",43.6606,-79.3679,16,24,Daily 9AM-9PM,416-929-9614,True,True,False,True,"Hot meals, showers, computers, and peer support for youth.",No ID required. Safe space for street-involved youth.,0.55
Covenant House Toronto,"20 Gerrard St E, Toronto",43.6564,-79.3831,16,24,24/7 Crisis line + Daily 9AM-5PM drop-in,416-598-4898,True,True,False,True,Full-service youth shelter and day programs.,Drop-in services available without shelter intake. Ask for youth day program.,0.6
Fred Victor Youth Services,"145 Queen St E, Toronto",43.6536,-79.3717,16,24,Mon-Fri 9AM-5PM,416-364-8228,True,True,False,True,"Employment support, life skills, peer programs.",Resume and job search help available. Computers free to use.,0.3
George Street Youth Hub,"134 George St, Toronto",43.6568,-79.3695,16,24,Mon-Fri 9AM-8PM,416-392-6693,True,True,False,True,Youth-specific programs within George Street facility.,Drop-in welcome. Youth worker available 1-8 PM weekdays.,0.35
Dixon Hall Youth Services,"58 Sumach St, Toronto",43.6561,-79.363,13,24,"Mon-Fri 3PM-9PM, Sat 12PM-5PM",416-863-0499,True,True,False,True,"After-school programs, homework help, sports.",Registered programs and drop-in available. Free snacks.,0.4
Rexdale Community Hub Youth Centre,"21 Panorama Ct, Rexdale",43.7326,-79.576,13,24,"Mon-Fri 2PM-9PM, Sat 10AM-5PM",416-741-6800,True,True,False,True,"Youth programs, cooking, art, computers.",Northwest Toronto. Welcoming to newcomer youth.,0.45
Scarborough Youth Services,"55 Town Centre Ct, Scarborough",43.7749,-79.257,12,24,Mon-Fri 9AM-5PM,416-438-6272,True,True,False,True,"Employment, counselling, and drop-in for Scarborough youth.",Walk-in assessment available.,0.5
North York Community House Youth,"201 Eddystone Ave, North York",43.73,-79.472,13,24,Mon-Fri 2PM-8PM,416-645-0084,True,True,False,True,"Homework help, computers, community kitchen.",Newcomer and at-risk youth priority. All welcome.,0.55
Black Creek Community Farm Youth Programs,"4929 Jane St, North York",43.7624,-79.5098,14,24,Sat-Sun 10AM-4PM (seasonal),416-654-5694,False,True,False,True,"Gardening, food skills, and outdoor programs.",Seasonal programs. Check schedule for availability.,0.6
Thorncliffe Park Youth Centre,"45 Overlea Blvd, East York",43.7079,-79.3526,13,24,Mon-Fri 3PM-9PM,416-421-3054,True,True,False,True,"Homework help, sports, computers.",High-density newcomer neighbourhood. Multilingual staff.,0.3
Parkdale Youth Action Group Drop-In,"1499 Queen St W, Toronto",43.6393,-79.4361,16,24,Tue/Thu 4PM-8PM,416-531-7570,True,False,False,True,Peer-led drop-in for street-involved youth.,"Low-barrier, no questions asked. Snacks and supplies available.",0.35
Friends of Ruby (LGBTQ+ Youth),"38 Isabella St, Toronto",43.6693,-79.3895,16,29,"Mon-Fri 10AM-8PM, Sat 12PM-6PM",416-921-7629,True,True,False,True,"LGBTQ+ youth safe space with counselling, programs, meals.",Gender-affirming care. No ID needed.,0.4
COSTI Youth Programs (Etobicoke),"1710 Kipling Ave, Etobicoke",43.6987,-79.5357,14,24,Mon-Fri 9AM-5PM,416-244-7714,True,True,False,True,Newcomer and refugee youth settlement services.,Multilingual staff. Employment and education help.,0.45
Wexford Community Drop-In Youth,"2243 Pharmacy Ave, Scarborough",43.7542,-79.28,13,24,Mon-Wed-Fri 3PM-7PM,416-265-0503,False,True,False,True,"Computers, games, youth worker drop-in.",Northeast Scarborough. Bus accessible.,0.5
Youth Services Toronto - Downsview,"2811 Keele St, North York",43.7435,-79.4849,16,24,Mon-Fri 10AM-6PM,416-638-6009,True,True,False,True,"Housing support, employment, life skills for youth.",Case management and drop-in available.,0.55
Eva's Place,"360 Lesmill Rd, Toronto",43.748,-79.3756,16,24,24/7,416-441-1721,True,True,False,True,Call or walk in. Emergency youth shelter.,Intake assessment on arrival. Safe and confidential.,0.65
Eva's Satellite,"1326 Kingston Rd, Toronto",43.7198,-79.2779,16,24,Mon-Fri 9AM-9PM,416-422-4495,True,True,False,True,Day programs for youth at risk.,Walk in during hours. Programs and snacks available.,0.4
Sprott House — YouthLink,"16 Willowdale Ave, Toronto",43.7634,-79.4094,16,24,24/7,416-222-1234,True,True,False,True,North York youth shelter. Call ahead if possible.,Walk in 24/7. Intake team on site.,0.7
Horizon Youth Services,"2 Crispin Pl, Toronto",43.649,-79.374,16,24,Mon-Fri 9AM-5PM,416-461-1925,True,False,False,True,Drop-in youth support. Referral not required.,Walk in. Ask for youth worker.,0.3
SKETCH Toronto,"180 Shaw St, Toronto",43.6427,-79.4249,13,30,"Mon-Fri 9AM-9PM, Sat 12PM-5PM",416-516-9909,True,True,False,True,Arts + community space. Drop-in welcome.,Walk in. Free programs. No ID needed.,0.25
The Youth Project — WoodGreen,"815 Danforth Ave, Toronto",43.6817,-79.3412,16,25,Mon-Fri 9AM-5PM,416-645-6000,True,True,False,True,Job skills + housing support for homeless youth.,Walk in. Ask for youth housing worker.,0.35
Youthdale Treatment Centres,"227 Victoria St, Toronto",43.6533,-79.3785,12,24,24/7,416-368-4896,True,False,False,True,Mental health and crisis shelter for youth.,Call first for availability. Walk-in assessment available.,0.8
Home Away From Home (HAFH),"1202 Wilson Ave, Toronto",43.731,-79.4623,16,21,24/7,416-247-5555,True,True,False,True,Supportive housing + emergency transitional beds for youth.,Referral through CAS or walk-in. Intake assessment.,0.7
Sherbourne Health Centre Youth,"333 Sherbourne St, Toronto",43.6637,-79.3752,13,29,Mon-Fri 9AM-5PM,416-324-4180,True,False,False,True,Youth health + harm reduction drop-in.,Walk in. No ID required for primary care.,0.2
The Spot (George Street Hub),"339 George St, Toronto",43.6545,-79.3706,13,25,Mon-Fri 10AM-6PM,416-338-4766,True,True,False,True,Daytime drop-in for youth. Meals and programs.,Walk in. Bring nothing — everything provided.,0.3
Native Youth Resource Centre,"439 Dundas St E, Toronto",43.6557,-79.3644,13,30,Mon-Fri 9AM-6PM,416-969-9079,True,True,False,True,Indigenous youth drop-in. Cultural programming.,Walk in. Open to all Indigenous youth.,0.2
Toronto Youth Cabinet,"100 Queen St W, Toronto",43.6534,-79.3838,14,24,Mon-Fri 9AM-5PM,416-392-6965,True,False,False,True,Civic engagement + advocacy for youth.,Walk in. Open to all youth wanting to get involved.,0.1
Tropicana Community Services,"1385 Weston Rd, Toronto",43.6999,-79.5027,13,24,Mon-Fri 9AM-6PM,416-248-2100,True,True,False,True,Black youth + newcomer services. Drop-in welcome.,Walk in. Cultural support and mentorship.,0.3
